id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
57,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,<S1,123,ORANG,2018
58,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,>=S1,1127,ORANG,2018
59,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,<S1,39,ORANG,2018
60,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,>=S1,899,ORANG,2018
61,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,<S1,142,ORANG,2018
62,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,>=S1,1348,ORANG,2018
63,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,<S1,71,ORANG,2018
64,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,>=S1,1200,ORANG,2018
65,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,<S1,75,ORANG,2018
66,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,>=S1,601,ORANG,2018
67,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,<S1,30,ORANG,2018
68,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,>=S1,652,ORANG,2018
69,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,<S1,27,ORANG,2018
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,>=S1,296,ORANG,2018
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,<S1,8,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,>=S1,255,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,<S1,117,ORANG,2018
74,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,>=S1,822,ORANG,2018
75,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,<S1,56,ORANG,2018
76,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,>=S1,829,ORANG,2018
77,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,<S1,49,ORANG,2018
78,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,>=S1,374,ORANG,2018
79,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,<S1,24,ORANG,2018
80,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,>=S1,335,ORANG,2018
81,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,<S1,137,ORANG,2018
82,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,>=S1,1627,ORANG,2018
83,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,<S1,58,ORANG,2018
84,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,>=S1,1830,ORANG,2018
85,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,<S1,22,ORANG,2018
86,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,>=S1,333,ORANG,2018
87,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,<S1,9,ORANG,2018
88,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,>=S1,378,ORANG,2018
89,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,<S1,136,ORANG,2018
90,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,>=S1,1313,ORANG,2018
91,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,<S1,99,ORANG,2018
92,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,>=S1,1380,ORANG,2018
93,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,<S1,79,ORANG,2018
94,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,>=S1,836,ORANG,2018
95,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,<S1,28,ORANG,2018
96,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,>=S1,798,ORANG,2018
